
Found '9' columns in '/group/ctbrowngrp/2025-ccbaumler-team-tartrate/updated/final_results.csv' file
=== 20201 Unique values (of 594573 values) for column 1: contig ===
    136 GCA_963693395.1_lcl|OY856303.1_cds_CAK5456711.1_425
     37 GCF_900290395.1_lcl|NZ_OKRI01000031.1_cds_WP_000091945.1_3724
     37 GCF_900239885.1_lcl|NZ_OENP01000031.1_cds_WP_000301864.1_1794
     37 GCF_900239845.1_lcl|NZ_OENL01000038.1_cds_WP_001096684.1_802
     37 GCF_900236055.1_lcl|NZ_OEDM01000028.1_cds_WP_001207201.1_3874
     37 GCF_900196585.1_lcl|NZ_FZJG01000052.1_cds_WP_000529945.1_4437
     37 GCF_900196455.1_lcl|NZ_FZJC01000021.1_cds_WP_000246882.1_997
     37 GCF_900196275.1_lcl|NZ_FZIO01000008.1_cds_WP_001096684.1_1315
     37 GCF_900196225.1_lcl|NZ_FZIH01000015.1_cds_WP_000140327.1_458
     37 GCF_900196125.1_lcl|NZ_FZIG01000044.1_cds_WP_000986797.1_63
     37 GCF_900196115.1_lcl|NZ_FZHR01000047.1_cds_WP_000301864.1_174
     37 GCF_900195855.1_lcl|NZ_FZHA01000005.1_cds_WP_000089698.1_2880
     37 GCF_900195785.1_lcl|NZ_FZGT01000018.1_cds_WP_000986797.1_2005
     37 GCF_900195775.1_lcl|NZ_FZGV01000012.1_cds_WP_000246882.1_809
     37 GCF_900195745.1_lcl|NZ_FZGN01000024.1_cds_WP_000986797.1_2775
     37 GCF_900195715.1_lcl|NZ_FZFO01000009.1_cds_WP_000089698.1_2551
     37 GCF_900195695.1_lcl|NZ_FZFP01000067.1_cds_WP_001096200.1_1039
     37 GCF_900195685.1_lcl|NZ_FZGI01000051.1_cds_WP_001096200.1_402
     37 GCF_900195685.1_lcl|NZ_FZGI01000051.1_cds_WP_000424395.1_391
     37 GCF_900195645.1_lcl|NZ_FZGC01000025.1_cds_WP_001338644.1_4705
     37 GCF_900195575.1_lcl|NZ_FZGF01000041.1_cds_WP_000301864.1_5019
     37 GCF_900195565.1_lcl|NZ_FZEY01000089.1_cds_WP_001096684.1_3512
     37 GCF_900195555.1_lcl|NZ_FZFT01000040.1_cds_WP_000424395.1_4774
     37 GCF_900195465.1_lcl|NZ_FZGB01000054.1_cds_WP_000424395.1_1829
     37 GCF_900195435.1_lcl|NZ_FZGH01000025.1_cds_WP_000246882.1_2583
     37 GCF_900195435.1_lcl|NZ_FZGH01000020.1_cds_WP_000089698.1_1565
     37 GCF_900195395.1_lcl|NZ_FZGJ01000005.1_cds_WP_000089698.1_2502
     37 GCF_900195385.1_lcl|NZ_FZFH01000017.1_cds_WP_000986797.1_1029
     37 GCF_900195345.1_lcl|NZ_FZEX01000065.1_cds_WP_000579833.1_3227
     37 GCF_900184875.1_lcl|NZ_LT883142.1_cds_WP_001096684.1_4191
     37 GCF_900166845.1_lcl|NZ_FUVS01000059.1_cds_WP_000579833.1_3913
     37 GCF_900166755.1_lcl|NZ_FUVU01000022.1_cds_WP_001096200.1_1875
     37 GCF_900166745.1_lcl|NZ_FUVR01000034.1_cds_WP_000529945.1_2082
     37 GCF_900166745.1_lcl|NZ_FUVR01000034.1_cds_WP_000301864.1_2079
     37 GCF_900166735.1_lcl|NZ_FUVV01000025.1_cds_WP_000301864.1_3918
     37 GCF_900166705.1_lcl|NZ_FUVL01000053.1_cds_WP_000529945.1_3771
     37 GCF_900160205.1_lcl|NZ_FUCM01000045.1_cds_WP_000301864.1_3637
     37 GCF_900159225.1_lcl|NZ_FTYR01000054.1_cds_WP_000424395.1_3321
     37 GCF_900156555.1_lcl|NZ_FUEI01000143.1_cds_WP_001338644.1_3640
     37 GCF_900156555.1_lcl|NZ_FUEI01000091.1_cds_WP_000246882.1_3772
     37 GCF_900108745.1_lcl|NZ_FUVF01000074.1_cds_WP_000579833.1_1553
     37 GCF_900094025.1_lcl|NZ_FLYY01000004.1_cds_WP_000089698.1_3630
     37 GCF_900093995.1_lcl|NZ_FLZJ01000040.1_cds_WP_001096684.1_2009
     37 GCF_900093995.1_lcl|NZ_FLZJ01000022.1_cds_WP_001338644.1_4111
     37 GCF_900093985.1_lcl|NZ_FLYV01000054.1_cds_WP_000529945.1_4299
     37 GCF_900093975.1_lcl|NZ_FLYU01000031.1_cds_WP_000091945.1_3476
     37 GCF_900093875.1_lcl|NZ_FLYX01000005.1_cds_WP_000018596.1_2624
     37 GCF_900042785.1_lcl|NZ_FCPB01000035.1_cds_WP_001096684.1_4730
     37 GCF_900042785.1_lcl|NZ_FCPB01000030.1_cds_WP_000301864.1_4552
     37 GCF_900039545.1_lcl|NZ_FCPA01000020.1_cds_WP_001338644.1_2892
     37 GCF_900016075.1_lcl|NZ_FBVF01000059.1_cds_WP_000529945.1_451
     37 GCF_900015795.1_lcl|NZ_FAWM01000186.1_cds_WP_000301864.1_5211
     37 GCF_041806975.1_lcl|NZ_JBGUBN010000038.1_cds_WP_000579833.1_4230
     37 GCF_041806975.1_lcl|NZ_JBGUBN010000038.1_cds_WP_000424395.1_4231
     37 GCF_041727915.1_lcl|NZ_JBGRST010000038.1_cds_WP_000529945.1_4155
     37 GCF_041727495.1_lcl|NZ_JBGRRX010000003.1_cds_WP_000529945.1_1332
     37 GCF_041727115.1_lcl|NZ_JBGRRH010000026.1_cds_WP_000529945.1_4437
     37 GCF_041723585.1_lcl|NZ_JBGKBJ010000050.1_cds_WP_001096684.1_3701
     37 GCF_041700435.1_lcl|NZ_JBGQZO010000066.1_cds_WP_001029684.1_4216
     37 GCF_041698815.1_lcl|NZ_JBGRCM010000036.1_cds_WP_000940121.1_3486
     37 GCF_041679465.1_lcl|NZ_JBEGCU010000034.1_cds_WP_001029684.1_3368
     37 GCF_041679425.1_lcl|NZ_JBEGCT010000006.1_cds_WP_000301864.1_1106
     37 GCF_041679405.1_lcl|NZ_JBEFLH010000042.1_cds_WP_000941212.1_3666
     37 GCF_041679405.1_lcl|NZ_JBEFLH010000042.1_cds_WP_000301864.1_3670
     37 GCF_041448635.1_lcl|NZ_JBGMWM010000003.1_cds_WP_000091945.1_727
     37 GCF_041383225.1_lcl|NZ_JBGFIO010000035.1_cds_WP_000579833.1_2701
     37 GCF_041383225.1_lcl|NZ_JBGFIO010000035.1_cds_WP_000301864.1_2704
     37 GCF_041383055.1_lcl|NZ_JBGFID010000002.1_cds_WP_000986797.1_1696
     37 GCF_041320195.1_lcl|NZ_CP100994.1_cds_WP_000847559.1_460
     37 GCF_041320185.1_lcl|NZ_CP100987.1_cds_WP_001096684.1_4413
     37 GCF_041320165.1_lcl|NZ_CP100978.1_cds_WP_000089698.1_543
     37 GCF_041320055.1_lcl|NZ_CP100936.1_cds_WP_001096684.1_4155
     37 GCF_041320035.1_lcl|NZ_CP100930.1_cds_WP_000940121.1_412
     37 GCF_041316645.1_lcl|NZ_CP100883.1_cds_WP_001096200.1_400
     37 GCF_041316645.1_lcl|NZ_CP100883.1_cds_WP_000301864.1_391
     37 GCF_041316455.1_lcl|NZ_CP100879.1_cds_WP_000986797.1_657
     37 GCF_041316455.1_lcl|NZ_CP100879.1_cds_WP_000089698.1_555
     37 GCF_041227385.1_lcl|NZ_JBGFER010000004.1_cds_WP_001338644.1_4795
     37 GCF_041084215.1_lcl|NZ_JBCEXP010000003.1_cds_WP_001096200.1_2855
     37 GCF_041079325.1_lcl|NZ_JBFYGC010000030.1_cds_WP_001338644.1_3144
     37 GCF_041079325.1_lcl|NZ_JBFYGC010000023.1_cds_WP_000246882.1_2777
     37 GCF_041079325.1_lcl|NZ_JBFYGC010000001.1_cds_WP_000986797.1_115
     37 GCF_041008295.1_lcl|NZ_JBBMYC010000039.1_cds_WP_000424395.1_3356
     37 GCF_040940085.1_lcl|NZ_JBFQDZ010000030.1_cds_WP_001207201.1_2972
     37 GCF_040939915.1_lcl|NZ_JBFQDT010000004.1_cds_WP_000089698.1_3199
     37 GCF_040934005.1_lcl|NZ_JBFRBP010000009.1_cds_WP_000424395.1_2113
     37 GCF_040933085.1_lcl|NZ_JBFQZN010000002.1_cds_WP_000246882.1_469
     37 GCF_040932885.1_lcl|NZ_JBFQZF010000030.1_cds_WP_001096200.1_4472
     37 GCF_040932885.1_lcl|NZ_JBFQZF010000030.1_cds_WP_000529945.1_4466
     37 GCF_040932705.1_lcl|NZ_JBFQYU010000051.1_cds_WP_000579833.1_4549
     37 GCF_040813435.1_lcl|NZ_JBFOBX010000002.1_cds_WP_000089698.1_1927
     37 GCF_040713795.1_lcl|NZ_JALMPR010000041.1_cds_WP_000940121.1_3382
     37 GCF_040543495.1_lcl|NZ_CP159630.1_cds_WP_001338644.1_1185
     37 GCF_040140885.1_lcl|NZ_JBEEXN010000020.1_cds_WP_000089698.1_2421
     37 GCF_040136685.1_lcl|NZ_JBEEQP010000032.1_cds_WP_000940121.1_2686
     37 GCF_040119905.1_lcl|NZ_JBEEDK010000003.1_cds_WP_000986797.1_2398
     37 GCF_040049015.1_lcl|NZ_JAQFLV010000069.1_cds_WP_000940121.1_4133
     37 GCF_040040055.1_lcl|NZ_JAQFJV010000008.1_cds_WP_000246882.1_4746
     37 GCF_039682695.1_lcl|NZ_JBDKNP010000054.1_cds_WP_000940121.1_4196
     37 GCF_039619355.1_lcl|NZ_CP154880.1_cds_WP_001338644.1_4274
     37 GCF_037569855.1_lcl|NZ_CP148435.1_cds_WP_000089698.1_1608
     37 GCF_037287145.1_lcl|NZ_JAXBUR010000045.1_cds_WP_000018596.1_4655
     37 GCF_037286805.1_lcl|NZ_JAXBUB010000042.1_cds_WP_000089698.1_3899
     37 GCF_037286735.1_lcl|NZ_JAXBTV010000004.1_cds_WP_000089698.1_1706
     37 GCF_037105575.1_lcl|NZ_JAGITR010000009.1_cds_WP_000986797.1_2688
     37 GCF_037101415.1_lcl|NZ_AP018395.1_cds_WP_000986797.1_3180
     37 GCF_036903695.1_lcl|NZ_JAKGPJ010000076.1_cds_WP_001338644.1_2135
     37 GCF_036881065.1_lcl|NZ_JBAJZZ010000001.1_cds_WP_000986797.1_206
     37 GCF_036681215.1_lcl|NZ_JAQMUS010000001.1_cds_WP_000940121.1_3551
     37 GCF_036600075.1_lcl|NZ_JAWCYR010000030.1_cds_WP_001338644.1_1951
     37 GCF_036599975.1_lcl|NZ_JAWCYL010000158.1_cds_WP_001338644.1_3266
     37 GCF_036502125.1_lcl|NZ_AP027704.1_cds_WP_000986797.1_651
     37 GCF_036496485.1_lcl|NZ_AP027532.1_cds_WP_000986797.1_3565
     37 GCF_036493655.1_lcl|NZ_AP027470.1_cds_WP_001338644.1_4327
     37 GCF_036282145.1_lcl|NZ_JAWLNW010000030.1_cds_WP_001338644.1_2243
     37 GCF_036247765.1_lcl|NZ_BLEN01000127.1_cds_WP_000089698.1_3709
     37 GCF_036247765.1_lcl|NZ_BLEN01000050.1_cds_WP_001338644.1_1923
     37 GCF_036038705.1_lcl|NZ_JAYXCW010000096.1_cds_WP_000940121.1_4146
     37 GCF_033439065.1_lcl|NZ_CP137737.1_cds_WP_000089698.1_642
     37 GCF_032336295.1_lcl|NZ_JAVXXH010000020.1_cds_WP_001338644.1_1733
     37 GCF_032143335.1_lcl|NZ_JAVSRK010000008.1_cds_WP_000986797.1_1248
     37 GCF_032143255.1_lcl|NZ_JAVSRJ010000035.1_cds_WP_000940121.1_3707
     37 GCF_031702345.1_lcl|NZ_JASNGZ010000027.1_cds_WP_000089698.1_1928
     37 GCF_031702245.1_lcl|NZ_JASNHD010000037.1_cds_WP_001338644.1_3221
     37 GCF_031702245.1_lcl|NZ_JASNHD010000009.1_cds_WP_000986797.1_1451
     37 GCF_031701825.1_lcl|NZ_JASNHQ010000041.1_cds_WP_000986797.1_3489
     37 GCF_031701285.1_lcl|NZ_JASNIE010000020.1_cds_WP_000089698.1_2558
     37 GCF_031700905.1_lcl|NZ_JASNIM010000037.1_cds_WP_000986797.1_3513
     37 GCF_031119015.1_lcl|NZ_JAVHZR010000001.1_cds_WP_000018596.1_1558
     37 GCF_031118865.1_lcl|NZ_JAVHZP010000001.1_cds_WP_001338644.1_2466
     37 GCF_030769985.1_lcl|NZ_JAVCAG010000010.1_cds_WP_000089698.1_54
     37 GCF_030515595.1_lcl|NZ_CP082100.1_cds_WP_000089698.1_3335
     37 GCF_030510285.1_lcl|NZ_JAUKXF010000022.1_cds_WP_001338644.1_1825
     37 GCF_009395265.1_lcl|NZ_CP045457.1_cds_WP_000140327.1_952
     37 GCA_022488185.1_lcl|CP092698.1_cds_UMQ04021.1_925
     36 GCF_964055385.1_lcl|NZ_CAXKQC010000001.1_cds_WP_000529945.1_407
     36 GCF_964054945.1_lcl|NZ_OZ040994.1_cds_WP_000529945.1_408
     36 GCF_964041875.1_lcl|NZ_CAXJKA010000002.1_cds_WP_001096200.1_3872
     36 GCF_964041875.1_lcl|NZ_CAXJKA010000002.1_cds_WP_000301864.1_3863
     36 GCF_964041635.1_lcl|NZ_CAXJJM010000001.1_cds_WP_000529945.1_466
     36 GCF_964041535.1_lcl|NZ_OZ039171.1_cds_WP_001096200.1_412
     36 GCF_964039955.1_lcl|NZ_CAXJFO010000001.1_cds_WP_000301864.1_402
     36 GCF_964020045.1_lcl|NZ_CAXHUF010000001.1_cds_WP_000301864.1_2569
     36 GCF_963924365.1_lcl|NZ_CAWUPO010000037.1_cds_WP_000301864.1_4437
     36 GCF_963680985.1_lcl|NZ_CAVMGQ010000006.1_cds_WP_001138043.1_1903
     36 GCF_963680915.1_lcl|NZ_CAVMGJ010000039.1_cds_WP_000301864.1_3684
     36 GCF_963680905.1_lcl|NZ_CAVMGI010000030.1_cds_WP_000301864.1_4467
     36 GCF_963679775.1_lcl|NZ_CAVMFD010000034.1_cds_WP_000301864.1_3824
     36 GCF_963679625.1_lcl|NZ_CAVMFA010000096.1_cds_WP_000301864.1_3207
     36 GCF_963679565.1_lcl|NZ_CAVMEF010000034.1_cds_WP_001096200.1_4593
     36 GCF_963679565.1_lcl|NZ_CAVMEF010000034.1_cds_WP_000447529.1_4586
     36 GCF_963679445.1_lcl|NZ_CAVMDU010000033.1_cds_WP_000529945.1_4551
     36 GCF_963679345.1_lcl|NZ_CAVMDO010000069.1_cds_WP_000941212.1_4102
     36 GCF_963679305.1_lcl|NZ_CAVMDH010000032.1_cds_WP_000529945.1_4615
     36 GCF_963679275.1_lcl|NZ_CAVMDD010000013.1_cds_WP_000089698.1_2717
     36 GCF_963679245.1_lcl|NZ_CAVMCT010000028.1_cds_WP_000941212.1_4171
     36 GCF_963679245.1_lcl|NZ_CAVMCT010000001.1_cds_WP_000018596.1_239
     36 GCF_963679225.1_lcl|NZ_CAVMCZ010000028.1_cds_WP_000940121.1_4148
     36 GCF_963679165.1_lcl|NZ_CAVMCR010000027.1_cds_WP_001096200.1_4067
     36 GCF_963679165.1_lcl|NZ_CAVMCR010000027.1_cds_WP_000091945.1_4070
     36 GCF_963679125.1_lcl|NZ_CAVMCQ010000030.1_cds_WP_001096684.1_4306
     36 GCF_963679125.1_lcl|NZ_CAVMCQ010000027.1_cds_WP_000301864.1_4183
     36 GCF_963679125.1_lcl|NZ_CAVMCQ010000001.1_cds_WP_000018596.1_266
     36 GCF_963679115.1_lcl|NZ_CAVMCU010000026.1_cds_WP_000424395.1_4134
     36 GCF_963679105.1_lcl|NZ_CAVMCS010000034.1_cds_WP_001096684.1_4272
     36 GCF_963679105.1_lcl|NZ_CAVMCS010000029.1_cds_WP_000613955.1_4073
     36 GCF_963679085.1_lcl|NZ_CAVMCF010000027.1_cds_WP_000301864.1_4183
     36 GCF_963679075.1_lcl|NZ_CAVMCG010000008.1_cds_WP_000613955.1_2303
     36 GCF_963679065.1_lcl|NZ_CAVMCK010000033.1_cds_WP_000529945.1_3486
     36 GCF_963679065.1_lcl|NZ_CAVMCK010000021.1_cds_WP_001338644.1_2732
     36 GCF_963679065.1_lcl|NZ_CAVMCK010000007.1_cds_WP_000829818.1_1347
     36 GCF_963679065.1_lcl|NZ_CAVMCK010000002.1_cds_WP_000246882.1_620
     36 GCF_963679045.1_lcl|NZ_CAVMCL010000023.1_cds_WP_001338644.1_3608
     36 GCF_963679015.1_lcl|NZ_CAVMCJ010000033.1_cds_WP_001096200.1_4034
     36 GCF_963577445.1_lcl|NZ_CAUZHK010000001.1_cds_WP_001096200.1_787
     36 GCF_963577445.1_lcl|NZ_CAUZHK010000001.1_cds_WP_000301864.1_778
     36 GCF_963575455.1_lcl|NZ_OY754409.1_cds_WP_000529945.1_430
     36 GCF_963575455.1_lcl|NZ_OY754409.1_cds_WP_000424395.1_425
     36 GCF_963575435.1_lcl|NZ_OY754398.1_cds_WP_000579833.1_405
     36 GCF_963575355.1_lcl|NZ_OY754353.1_cds_WP_000579833.1_415
     36 GCF_963572465.1_lcl|NZ_CAUYEZ010000037.1_cds_WP_001138043.1_4600
     36 GCF_963280965.1_lcl|NZ_CAUJMI010000001.1_cds_WP_001096684.1_4140
     36 GCF_958408405.1_lcl|NZ_CATYKN010000136.1_cds_WP_001085926.1_4727
     36 GCF_950288405.1_lcl|NZ_CATNQW010000052.1_cds_WP_000424395.1_2041
     36 GCF_949786285.1_lcl|NZ_OX460316.1_cds_WP_000089698.1_560
     36 GCF_949281895.1_lcl|NZ_CASDNW010000032.1_cds_WP_001096200.1_3666
     36 GCF_949281895.1_lcl|NZ_CASDNW010000032.1_cds_WP_000847559.1_3598
     36 GCF_949281885.1_lcl|NZ_CASDNV010000002.1_cds_WP_000579833.1_1388
     36 GCF_949281885.1_lcl|NZ_CASDNV010000002.1_cds_WP_000424395.1_1387
     36 GCF_949281885.1_lcl|NZ_CASDNV010000001.1_cds_WP_000140327.1_149
     36 GCF_949281825.1_lcl|NZ_CASDNR010000034.1_cds_WP_000246882.1_4718
     36 GCF_949281785.1_lcl|NZ_CASDNJ010000003.1_cds_WP_000579833.1_2069
     36 GCF_949281785.1_lcl|NZ_CASDNJ010000003.1_cds_WP_000529945.1_2063
     36 GCF_949281545.1_lcl|NZ_CASDMX010000001.1_cds_WP_000301864.1_420
     36 GCF_949281545.1_lcl|NZ_CASDMX010000001.1_cds_WP_000089698.1_1204
     36 GCF_949281525.1_lcl|NZ_CASDML010000002.1_cds_WP_000529945.1_501
     36 GCF_949281525.1_lcl|NZ_CASDML010000002.1_cds_WP_000091945.1_492
     36 GCF_948144515.1_lcl|NZ_CANUHF010000001.1_cds_WP_000018596.1_140
     36 GCF_948144155.1_lcl|NZ_CANUHC010000052.1_cds_WP_001029684.1_4232
     36 GCF_948144075.1_lcl|NZ_CANUFU010000077.1_cds_WP_001338644.1_4727
     36 GCF_947859625.1_lcl|NZ_CANUEF010000038.1_cds_WP_000579833.1_3827
     36 GCF_947859305.1_lcl|NZ_CANUDY010000019.1_cds_WP_001338644.1_2649
     36 GCF_947859055.1_lcl|NZ_CANUDR010000029.1_cds_WP_001338644.1_3048
     36 GCF_947390375.1_lcl|NZ_CANDXW010000001.1_cds_WP_000579833.1_527
     36 GCF_946960675.1_lcl|NZ_CAMPSQ010000039.1_cds_WP_000424395.1_3532
     36 GCF_946960565.1_lcl|NZ_CAMPSN010000018.1_cds_WP_001338644.1_2186
     36 GCF_946960555.1_lcl|NZ_CAMPSP010000032.1_cds_WP_001338644.1_3327
     36 GCF_946960435.1_lcl|NZ_CAMPSS010000040.1_cds_WP_001096684.1_4282
     36 GCF_946909575.1_lcl|NZ_CAMPQW010000101.1_cds_WP_000529945.1_674
     36 GCF_946909505.1_lcl|NZ_CAMPQM010000104.1_cds_WP_000613955.1_2852
     36 GCF_946909475.1_lcl|NZ_CAMPRA010000996.1_cds_WP_000301864.1_4797
     36 GCF_946888795.1_lcl|NZ_CAMPLI010000041.1_cds_WP_000091945.1_3861
     36 GCF_939535325.1_lcl|NZ_CALNDZ010000040.1_cds_WP_001207201.1_4227
     36 GCF_934277835.1_lcl|NZ_CAKQVR010000034.1_cds_WP_000301864.1_4201
     36 GCF_934277835.1_lcl|NZ_CAKQVR010000001.1_cds_WP_000089698.1_99
     36 GCF_934230715.1_lcl|NZ_CAKQFG010000042.1_cds_WP_000301864.1_4339
     36 GCF_932909795.1_lcl|NZ_CAKOEB010000012.1_cds_WP_000089698.1_1486
     36 GCF_921293765.1_lcl|NZ_CAKLDG010000041.1_cds_WP_000940121.1_3800
     36 GCF_921293765.1_lcl|NZ_CAKLDG010000041.1_cds_WP_000091945.1_3802
     36 GCF_916160965.1_lcl|NZ_CAJZQK010000020.1_cds_WP_000529945.1_4437
     36 GCF_916160425.1_lcl|NZ_CAJZPK010000022.1_cds_WP_001338644.1_3066
     36 GCF_916159805.1_lcl|NZ_CAJZNY010000033.1_cds_WP_000301864.1_4623
     36 GCF_916159805.1_lcl|NZ_CAJZNY010000033.1_cds_WP_000091945.1_4611
     36 GCF_916159795.1_lcl|NZ_CAJZOB010000004.1_cds_WP_000246882.1_866
     36 GCF_916159765.1_lcl|NZ_CAJZOA010000060.1_cds_WP_000579833.1_3818
     36 GCF_910907485.1_lcl|NZ_CAJVGE010000013.1_cds_WP_000246882.1_526
     36 GCF_910664975.1_lcl|NZ_CAJVFQ010000025.1_cds_WP_000579833.1_4916
     36 GCF_910664975.1_lcl|NZ_CAJVFQ010000025.1_cds_WP_000529945.1_4922
     36 GCF_910664825.1_lcl|NZ_OU349841.1_cds_WP_000246882.1_1085
     36 GCF_910594965.1_lcl|NZ_CAJVBX010000007.1_cds_WP_000246882.1_2483
     36 GCF_910592775.1_lcl|NZ_CAJUZT010000026.1_cds_WP_000529945.1_4926
     36 GCF_910592735.1_lcl|NZ_CAJUZZ010000029.1_cds_WP_000579833.1_4751
     36 GCF_910592735.1_lcl|NZ_CAJUZZ010000003.1_cds_WP_000246882.1_1034
     36 GCF_907275095.1_lcl|NZ_CAJSMP010000004.1_cds_WP_001096200.1_1173
     36 GCF_907177205.1_lcl|NZ_CAJSLI010000002.1_cds_WP_000986797.1_480
     36 GCF_907177095.1_lcl|NZ_CAJSLB010000038.1_cds_WP_000091945.1_3979
     36 GCF_907177095.1_lcl|NZ_CAJSLB010000006.1_cds_WP_000089698.1_1162
     36 GCF_907176945.1_lcl|NZ_CAJSKR010000015.1_cds_WP_000246882.1_2529
     36 GCF_907176785.1_lcl|NZ_CAJSKH010000037.1_cds_WP_000940121.1_4161
     36 GCF_907176105.1_lcl|NZ_CAJSKA010000018.1_cds_WP_001338644.1_2525
     36 GCF_907176085.1_lcl|NZ_CAJSJR010000038.1_cds_WP_000424395.1_1633
     36 GCF_907176085.1_lcl|NZ_CAJSJR010000030.1_cds_WP_000986797.1_1373
     36 GCF_907176055.1_lcl|NZ_CAJSJP010000047.1_cds_WP_001338644.1_1351
     36 GCF_907176045.1_lcl|NZ_CAJSKE010000002.1_cds_WP_000986797.1_337
     36 GCF_907176025.1_lcl|NZ_CAJSKF010000067.1_cds_WP_000424395.1_4050
     36 GCF_907175925.1_lcl|NZ_CAJSJA010000014.1_cds_WP_000089698.1_1899
     36 GCF_907175915.1_lcl|NZ_CAJSJG010000004.1_cds_WP_000089698.1_522
     36 GCF_907175905.1_lcl|NZ_CAJSJB010000031.1_cds_WP_000091945.1_3778
     36 GCF_907175875.1_lcl|NZ_CAJSJE010000008.1_cds_WP_000089698.1_1842
     36 GCF_907175855.1_lcl|NZ_CAJSIZ010000029.1_cds_WP_000089698.1_2241
     36 GCF_907175855.1_lcl|NZ_CAJSIZ010000007.1_cds_WP_000579833.1_91
     36 GCF_907175785.1_lcl|NZ_CAJSIV010000001.1_cds_WP_000018596.1_142
     36 GCF_907175775.1_lcl|NZ_CAJSJF010000099.1_cds_WP_001096200.1_4396
     36 GCF_907175725.1_lcl|NZ_CAJSIO010000061.1_cds_WP_001338644.1_2314
     36 GCF_907175615.1_lcl|NZ_CAJSIJ010000067.1_cds_WP_000301864.1_1102
     36 GCF_907175615.1_lcl|NZ_CAJSIJ010000067.1_cds_WP_000091945.1_1090
     36 GCF_907175585.1_lcl|NZ_CAJSIK010000028.1_cds_WP_000091945.1_4435
     36 GCF_907175575.1_lcl|NZ_CAJSID010000023.1_cds_WP_000089698.1_1065
     36 GCF_907175395.1_lcl|NZ_CAJSHA010000042.1_cds_WP_001096684.1_4227
     36 GCF_907175175.1_lcl|NZ_CAJSGU010000044.1_cds_WP_000529945.1_4790
     36 GCF_907175135.1_lcl|NZ_CAJSGP010000046.1_cds_WP_000529945.1_3963
     36 GCF_907175135.1_lcl|NZ_CAJSGP010000024.1_cds_WP_000246882.1_2800
     36 GCF_907175075.1_lcl|NZ_CAJSGG010000006.1_cds_WP_000089698.1_1132
     36 GCF_907175065.1_lcl|NZ_CAJSGJ010000063.1_cds_WP_000529945.1_4385
     36 GCF_905331185.2_lcl|NZ_OW968288.1_cds_WP_000246882.1_3714
     36 GCF_905134105.1_lcl|NZ_CAJHTL010000036.1_cds_WP_000424395.1_4324
     36 GCF_905134105.1_lcl|NZ_CAJHTL010000003.1_cds_WP_000018596.1_876
     36 GCF_905134105.1_lcl|NZ_CAJHTL010000002.1_cds_WP_000089698.1_675
     36 GCF_905133895.1_lcl|NZ_CAJHSU010000021.1_cds_WP_000986797.1_2306
     36 GCF_905133685.1_lcl|NZ_CAJHRY010000040.1_cds_WP_000940121.1_3579
     36 GCF_905133685.1_lcl|NZ_CAJHRY010000040.1_cds_WP_000424395.1_3595
     36 GCF_905133685.1_lcl|NZ_CAJHRY010000004.1_cds_WP_000089698.1_657
     36 GCF_905071795.1_lcl|NZ_CAJHJK010000001.1_cds_WP_001338644.1_4973
     36 GCF_904865835.1_lcl|NZ_LR890508.1_cds_WP_000940121.1_3359
     36 GCF_904842665.1_lcl|NZ_LR883965.1_cds_WP_001096200.1_3201
     36 GCF_904842655.1_lcl|NZ_CAJGWN010000001.1_cds_WP_000986797.1_1878
     36 GCF_904842455.1_lcl|NZ_CAJGVW010000003.1_cds_WP_000986797.1_1441
     36 GCF_904830965.1_lcl|NZ_LR882973.1_cds_WP_001096684.1_4285
     36 GCF_904810385.1_lcl|NZ_CAJGGZ010000052.1_cds_WP_001096200.1_3680
     36 GCF_904810195.1_lcl|NZ_CAJGGM010000004.1_cds_WP_000246882.1_2713
     36 GCF_904809875.1_lcl|NZ_CAJGFK010000024.1_cds_WP_000529945.1_4408
     36 GCF_904809825.1_lcl|NZ_CAJGFJ010000023.1_cds_WP_000529945.1_4409
     36 GCF_904809825.1_lcl|NZ_CAJGFJ010000023.1_cds_WP_000424395.1_4404
     36 GCF_904809825.1_lcl|NZ_CAJGFJ010000023.1_cds_WP_000358960.1_4419
     36 GCF_904809745.1_lcl|NZ_CAJGFB010000038.1_cds_WP_001096684.1_4735
     36 GCF_904809745.1_lcl|NZ_CAJGFB010000038.1_cds_WP_001085926.1_4736
     36 GCF_904711305.1_lcl|NZ_LR882050.1_cds_WP_000986797.1_3605
     36 GCF_904387335.1_lcl|NZ_CAJFLF010000015.1_cds_WP_000018596.1_1908
     36 GCF_902825205.1_lcl|NZ_LR782232.1_cds_WP_001207201.1_4396
     36 GCF_902810125.1_lcl|NZ_CADDXG010000001.1_cds_WP_000246882.1_1327
     36 GCF_902810125.1_lcl|NZ_CADDXG010000001.1_cds_WP_000089698.1_4449
     36 GCF_902807075.1_lcl|NZ_CADCYM010000028.1_cds_WP_001096200.1_4364
     36 GCF_902703275.1_lcl|NZ_CACRYR010000133.1_cds_WP_001338644.1_1903
     36 GCF_902505045.1_lcl|NZ_CABWHW010000052.1_cds_WP_001238914.1_4225
     36 GCF_902505045.1_lcl|NZ_CABWHW010000047.1_cds_WP_001085926.1_4081
     36 GCF_902505045.1_lcl|NZ_CABWHW010000002.1_cds_WP_000246882.1_275
     36 GCF_902503825.1_lcl|NZ_CABWDD010000071.1_cds_WP_000940121.1_3669
